precinct,candidate_1,votes_1,percent_votes_1,candidate_2,votes_2,percent_votes_2,candidate_3,votes_3,percent_votes_3,candidate_4,votes_4,percent_votes_4,candidate_5,votes_5,percent_votes_5,candidate_6,votes_6,percent_votes_6
09-003,Janie Monier,823,19,Josh Bokee,793,18,Jaime Kiersten Brennan,738,17,"Chad King Wilson, Sr.",736,17,Colt Morningstar Black,693,16,Veronica D. Lowe,644,15
09-004,Jaime Kiersten Brennan,1216,22,Colt Morningstar Black,1202,22,Janie Monier,927,17,Josh Bokee,865,15,"Chad King Wilson, Sr.",775,14,Veronica D. Lowe,604,11
09-005,Colt Morningstar Black,506,19,Jaime Kiersten Brennan,505,19,Janie Monier,488,19,Josh Bokee,443,17,"Chad King Wilson, Sr.",419,16,Veronica D. Lowe,273,10
09-006,Janie Monier,1585,19,Josh Bokee,1483,18,Jaime Kiersten Brennan,1368,17,"Chad King Wilson, Sr.",1331,16,Colt Morningstar Black,1282,16,Veronica D. Lowe,1093,13
09-007,Jaime Kiersten Brennan,1774,19,Janie Monier,1736,18,Colt Morningstar Black,1662,18,Josh Bokee,1631,17,"Chad King Wilson, Sr.",1496,16,Veronica D. Lowe,1118,12
10-001,Colt Morningstar Black,369,32,Jaime Kiersten Brennan,305,27,Josh Bokee,143,13,Janie Monier,124,11,"Chad King Wilson, Sr.",110,10,Veronica D. Lowe,88,8
10-002,Colt Morningstar Black,361,31,Jaime Kiersten Brennan,323,27,Janie Monier,134,11,"Chad King Wilson, Sr.",124,11,Josh Bokee,120,10,Veronica D. Lowe,114,10
11-001,Colt Morningstar Black,1049,29,Jaime Kiersten Brennan,918,25,Janie Monier,496,14,Josh Bokee,485,13,"Chad King Wilson, Sr.",389,11,Veronica D. Lowe,333,9
12-001,Jaime Kiersten Brennan,1143,19,Colt Morningstar Black,1090,18,Josh Bokee,1027,17,Janie Monier,1011,17,"Chad King Wilson, Sr.",988,16,Veronica D. Lowe,852,14
13-001,Janie Monier,1622,18,Jaime Kiersten Brennan,1599,18,Josh Bokee,1576,18,Colt Morningstar Black,1506,17,"Chad King Wilson, Sr.",1472,17,Veronica D. Lowe,1009,11
13-003,Jaime Kiersten Brennan,224,20,Colt Morningstar Black,188,17,Janie Monier,182,17,Josh Bokee,182,17,"Chad King Wilson, Sr.",166,15,Veronica D. Lowe,161,15
14-001,Colt Morningstar Black,1435,22,Jaime Kiersten Brennan,1427,21,Janie Monier,1116,17,Josh Bokee,1037,16,"Chad King Wilson, Sr.",932,14,Veronica D. Lowe,722,11
15-001,Colt Morningstar Black,349,31,Jaime Kiersten Brennan,289,26,Janie Monier,149,13,Josh Bokee,123,11,"Chad King Wilson, Sr.",111,10,Veronica D. Lowe,98,9
15-002,Colt Morningstar Black,2251,27,Jaime Kiersten Brennan,2027,25,Janie Monier,1124,14,Josh Bokee,1042,13,"Chad King Wilson, Sr.",965,12,Veronica D. Lowe,825,10
15-003,Colt Morningstar Black,38,40,Jaime Kiersten Brennan,24,25,Veronica D. Lowe,10,11,Josh Bokee,9,9,"Chad King Wilson, Sr.",7,7,Janie Monier,7,7
16-001,Colt Morningstar Black,1213,23,Jaime Kiersten Brennan,1191,22,Janie Monier,846,16,Josh Bokee,794,15,"Chad King Wilson, Sr.",763,14,Veronica D. Lowe,495,9
17-001,Colt Morningstar Black,658,29,Jaime Kiersten Brennan,529,24,Janie Monier,285,13,"Chad King Wilson, Sr.",269,12,Josh Bokee,267,12,Veronica D. Lowe,224,10
18-001,Jaime Kiersten Brennan,952,23,Colt Morningstar Black,844,20,Janie Monier,712,17,Josh Bokee,628,15,"Chad King Wilson, Sr.",578,14,Veronica D. Lowe,434,10
18-002,Jaime Kiersten Brennan,1801,24,Colt Morningstar Black,1777,24,Janie Monier,1176,16,Josh Bokee,1071,14,"Chad King Wilson, Sr.",952,13,Veronica D. Lowe,771,10
19-001,Colt Morningstar Black,539,28,Jaime Kiersten Brennan,469,24,Janie Monier,262,14,Josh Bokee,248,13,"Chad King Wilson, Sr.",214,11,Veronica D. Lowe,202,10
20-001,Colt Morningstar Black,966,27,Jaime Kiersten Brennan,889,24,Josh Bokee,512,14,Janie Monier,477,13,"Chad King Wilson, Sr.",449,12,Veronica D. Lowe,344,9
21-001,Jaime Kiersten Brennan,760,18,Colt Morningstar Black,758,18,Janie Monier,757,18,Josh Bokee,741,18,"Chad King Wilson, Sr.",622,15,Veronica D. Lowe,492,12
21-002,Josh Bokee,783,21,Janie Monier,778,20,"Chad King Wilson, Sr.",695,18,Veronica D. Lowe,555,15,Jaime Kiersten Brennan,526,14,Colt Morningstar Black,464,12
21-003,Josh Bokee,1696,18,Janie Monier,1660,18,Veronica D. Lowe,1603,17,Jaime Kiersten Brennan,1539,16,"Chad King Wilson, Sr.",1508,16,Colt Morningstar Black,1342,14
21-009,Veronica D. Lowe,129,20,Josh Bokee,117,18,Janie Monier,116,18,"Chad King Wilson, Sr.",114,17,Jaime Kiersten Brennan,104,16,Colt Morningstar Black,80,12
22-001,Colt Morningstar Black,403,21,Jaime Kiersten Brennan,373,19,Janie Monier,322,17,"Chad King Wilson, Sr.",307,16,Josh Bokee,305,16,Veronica D. Lowe,214,11
23-001,Jaime Kiersten Brennan,512,22,Colt Morningstar Black,472,20,Janie Monier,367,16,"Chad King Wilson, Sr.",348,15,Josh Bokee,346,15,Veronica D. Lowe,269,12
23-002,Janie Monier,9,24,Veronica D. Lowe,8,21,Josh Bokee,6,16,"Chad King Wilson, Sr.",5,13,Colt Morningstar Black,5,13,Jaime Kiersten Brennan,5,13
23-005,Veronica D. Lowe,1113,18,Janie Monier,1080,18,Josh Bokee,1044,17,"Chad King Wilson, Sr.",1006,17,Jaime Kiersten Brennan,982,16,Colt Morningstar Black,855,14
24-001,Janie Monier,788,19,"Chad King Wilson, Sr.",731,18,Josh Bokee,727,18,Jaime Kiersten Brennan,705,17,Colt Morningstar Black,702,17,Veronica D. Lowe,433,11
24-002,Janie Monier,675,18,Jaime Kiersten Brennan,633,17,Josh Bokee,633,17,"Chad King Wilson, Sr.",625,17,Veronica D. Lowe,613,16,Colt Morningstar Black,538,14
25-001,Janie Monier,1026,18,Jaime Kiersten Brennan,976,17,Colt Morningstar Black,958,17,Josh Bokee,930,17,"Chad King Wilson, Sr.",903,16,Veronica D. Lowe,811,14
26-001,Colt Morningstar Black,1250,20,Jaime Kiersten Brennan,1237,20,Janie Monier,1070,17,Josh Bokee,1048,17,"Chad King Wilson, Sr.",960,15,Veronica D. Lowe,734,12
26-002,Jaime Kiersten Brennan,999,21,Colt Morningstar Black,990,21,Janie Monier,770,16,Josh Bokee,758,16,"Chad King Wilson, Sr.",728,15,Veronica D. Lowe,577,12
