"precinct","president_1","president_2","president_3","president_4","president_5","votes_1","votes_2","votes_3","votes_4","votes_5","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5"
"18-001","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Oliver-ter Maat","Stein-Ware",1159,1004,21,11,10,2205,53,46,1,0,0
"18-002","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",2384,1562,35,22,20,4023,59,39,1,1,0
"19-001","Trump-Vance","Harris-Walz","Oliver-ter Maat","Kennedy, Jr.-Shanahan","Stein-Ware",777,304,10,8,5,1104,70,28,1,1,0
"20-001","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Oliver-ter Maat","Stein-Ware",1290,604,19,16,7,1936,67,31,1,1,0
"21-001","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Oliver-ter Maat","Stein-Ware",1051,987,19,16,12,2085,50,47,1,1,1
"21-002","Harris-Walz","Trump-Vance","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",1238,557,17,14,10,1836,67,30,1,1,1
"21-003","Harris-Walz","Trump-Vance","Stein-Ware","Kennedy, Jr.-Shanahan","Oliver-ter Maat",2869,1492,43,38,19,4461,64,33,1,1,0
"21-009","Harris-Walz","Trump-Vance","Stein-Ware","Oliver-ter Maat",NA,208,109,7,1,NA,NA,NA,NA,NA,NA,NA
"22-001","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Oliver-ter Maat","Stein-Ware",571,402,8,4,4,989,58,41,1,0,0
"23-001","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",682,492,11,11,10,1206,57,41,1,1,1
"23-002","Harris-Walz","Trump-Vance",NA,NA,NA,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-005","Harris-Walz","Trump-Vance","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",2002,1040,38,33,19,3132,64,33,1,1,1
"24-001","Harris-Walz","Trump-Vance","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",1070,922,21,17,16,2046,52,45,1,1,1
"24-002","Harris-Walz","Trump-Vance","Stein-Ware","Kennedy, Jr.-Shanahan","Oliver-ter Maat",1044,707,26,11,9,1797,58,39,1,1,1
"25-001","Harris-Walz","Trump-Vance","Stein-Ware","Kennedy, Jr.-Shanahan","Oliver-ter Maat",1496,1299,29,25,22,2871,52,45,1,1,1
"26-001","Harris-Walz","Trump-Vance","Kennedy, Jr.-Shanahan","Oliver-ter Maat","Stein-Ware",1516,1508,31,22,12,3089,49,49,1,1,0
"26-002","Trump-Vance","Harris-Walz","Kennedy, Jr.-Shanahan","Stein-Ware","Oliver-ter Maat",1179,1110,35,17,16,2357,50,47,1,1,1
