"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"03-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1247,1230,1038,989,911,536,"republican","republican","democrat","democrat","democrat","democrat",5951,20.9544614350529,20.6687951604772,17.4424466476222,16.619055620904,15.3083515375567,9.00688959838683
"04-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",385,334,162,157,134,119,"republican","republican","democrat","democrat","democrat","democrat",1291,29.8218435321456,25.8714175058095,12.5484120836561,12.1611154144074,10.3795507358637,9.21766072811774
"05-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",1279,1027,620,607,569,526,"republican","republican","democrat","democrat","democrat","democrat",4628,27.6361279170268,22.1910112359551,13.3967156439067,13.1158167675022,12.2947277441659,11.3656006914434
"05-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",154,128,55,54,48,44,"republican","republican","democrat","democrat","democrat","democrat",483,31.8840579710145,26.5010351966874,11.3871635610766,11.1801242236025,9.93788819875776,9.10973084886128
"06-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",812,704,321,312,273,230,"republican","republican","democrat","democrat","democrat","democrat",2652,30.6184012066365,26.5460030165913,12.10407239819,11.7647058823529,10.2941176470588,8.67269984917044
"07-001","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",999,946,893,887,816,715,"democrat","republican","democrat","republican","democrat","democrat",5256,19.0068493150685,17.9984779299848,16.9901065449011,16.8759512937595,15.5251141552511,13.603500761035
"07-002","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",1608,1500,1396,1301,1126,1119,"democrat","democrat","democrat","republican","republican","democrat",8050,19.9751552795031,18.6335403726708,17.3416149068323,16.1614906832298,13.9875776397516,13.9006211180124
"07-003","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",877,847,825,772,708,491,"republican","republican","democrat","democrat","democrat","democrat",4520,19.4026548672566,18.7389380530973,18.2522123893805,17.0796460176991,15.6637168141593,10.8628318584071
"07-004","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",944,823,774,750,670,644,"democrat","democrat","democrat","republican","republican","democrat",4605,20.499457111835,17.871878393051,16.8078175895765,16.2866449511401,14.5494028230185,13.9847991313789
"07-007","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Veronica D. Lowe","Colt Morningstar Black",413,364,353,336,317,313,"democrat","democrat","democrat","republican","democrat","republican",2096,19.7041984732824,17.3664122137405,16.8416030534351,16.030534351145,15.1240458015267,14.9332061068702
