"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"07-004","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",944,823,774,750,670,644,"^","^","^","*","*","^",4605,20,18,17,16,15,14
"07-007","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Veronica D. Lowe","Colt Morningstar Black",413,364,353,336,317,313,"^","^","^","*","^","*",2096,20,17,17,16,15,15
"08-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",772,709,400,356,351,304,"*","*","^","^","^","^",2892,27,25,14,12,12,11
"09-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1054,1014,1001,860,815,560,"*","*","^","^","^","^",5304,20,19,19,16,15,11
"09-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1734,1652,1412,1283,1165,1049,"*","*","^","^","^","^",8295,21,20,17,15,14,13
"09-003","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",823,793,738,736,693,644,"^","^","*","^","*","^",4427,19,18,17,17,16,15
"09-004","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1216,1202,927,865,775,604,"*","*","^","^","^","^",5589,22,22,17,15,14,11
"09-005","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",506,505,488,443,419,273,"*","*","^","^","^","^",2634,19,19,19,17,16,10
"09-006","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",1585,1483,1368,1331,1282,1093,"^","^","*","^","*","^",8142,19,18,17,16,16,13
"09-007","Jaime Kiersten Brennan","Janie Monier","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1774,1736,1662,1631,1496,1118,"*","^","*","^","^","^",9417,19,18,18,17,16,12
"10-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",369,305,143,124,110,88,"*","*","^","^","^","^",1139,32,27,13,11,10,8
"10-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",361,323,134,124,120,114,"*","*","^","^","^","^",1176,31,27,11,11,10,10
"11-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1049,918,496,485,389,333,"*","*","^","^","^","^",3670,29,25,14,13,11,9
"12-001","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",1143,1090,1027,1011,988,852,"*","*","^","^","^","^",6111,19,18,17,17,16,14
"13-001","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",1622,1599,1576,1506,1472,1009,"^","*","^","*","^","^",8784,18,18,18,17,17,11
"13-003","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",224,188,182,182,166,161,"*","*","^","^","^","^",1103,20,17,17,17,15,15
"14-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1435,1427,1116,1037,932,722,"*","*","^","^","^","^",6669,22,21,17,16,14,11
"15-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",349,289,149,123,111,98,"*","*","^","^","^","^",1119,31,26,13,11,10,9
"15-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",2251,2027,1124,1042,965,825,"*","*","^","^","^","^",8234,27,25,14,13,12,10
"15-003","Colt Morningstar Black","Jaime Kiersten Brennan","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Janie Monier",38,24,10,9,7,7,"*","*","^","^","^","^",95,40,25,11,9,7,7
"16-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1213,1191,846,794,763,495,"*","*","^","^","^","^",5302,23,22,16,15,14,9
"17-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",658,529,285,269,267,224,"*","*","^","^","^","^",2232,29,24,13,12,12,10
"18-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",952,844,712,628,578,434,"*","*","^","^","^","^",4148,23,20,17,15,14,10
