"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6"
"02-015","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",1768,1718,1571,1316,1237,1080
"02-016","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",576,509,497,486,412,335
"02-018","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",635,578,574,536,470,367
"03-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1485,1468,1267,1197,1158,760
"03-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1247,1230,1038,989,911,536
"04-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",385,334,162,157,134,119
"05-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",1279,1027,620,607,569,526
"05-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Veronica D. Lowe","Chad King Wilson, Sr.",154,128,55,54,48,44
"06-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",812,704,321,312,273,230
"07-001","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",999,946,893,887,816,715
"07-002","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",1608,1500,1396,1301,1126,1119
"07-003","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",877,847,825,772,708,491
"07-004","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",944,823,774,750,670,644
"07-007","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Veronica D. Lowe","Colt Morningstar Black",413,364,353,336,317,313
"08-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",772,709,400,356,351,304
"09-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1054,1014,1001,860,815,560
"09-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1734,1652,1412,1283,1165,1049
"09-003","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",823,793,738,736,693,644
"09-004","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1216,1202,927,865,775,604
"09-005","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",506,505,488,443,419,273
