"precinct","candidate","votes"
"02-015","Colt Morningstar Black (10072072.0001100)",1080
"02-015","Jaime Kiersten Brennan (10072072.0001390)",1237
"02-015","Janie Monier (10072072.0001460)",1768
"02-015","Josh Bokee (10072072.0001150)",1718
"02-015","Veronica D. Lowe (10072072.0002200)",1316
"02-015","or write-in:",62
"02-015","overvote",8
"02-015","undervote",1637
"02-015",NA,319
"02-016","Chad King Wilson, Sr. (10072072.0001530)",486
"02-016","Colt Morningstar Black (10072072.0001100)",335
"02-016","Jaime Kiersten Brennan (10072072.0001390)",412
"02-016","Janie Monier (10072072.0001460)",509
"02-016","Josh Bokee (10072072.0001150)",497
"02-016","Veronica D. Lowe (10072072.0002200)",576
"02-016","or write-in:",22
"02-016","overvote",1
"02-016","undervote",638
"02-016",NA,74
"02-018","Chad King Wilson, Sr. (10072072.0001530)",574
"02-018","Colt Morningstar Black (10072072.0001100)",367
"02-018","Jaime Kiersten Brennan (10072072.0001390)",470
"02-018","Janie Monier (10072072.0001460)",635
"02-018","Josh Bokee (10072072.0001150)",578
"02-018","Veronica D. Lowe (10072072.0002200)",536
"02-018","or write-in:",35
"02-018","overvote",1
"02-018","undervote",549
"02-018",NA,114
"03-001","Chad King Wilson, Sr. (10072072.0001530)",1158
"03-001","Colt Morningstar Black (10072072.0001100)",1485
"03-001","Jaime Kiersten Brennan (10072072.0001390)",1468
"03-001","Janie Monier (10072072.0001460)",1267
"03-001","Josh Bokee (10072072.0001150)",1197
"03-001","Veronica D. Lowe (10072072.0002200)",760
"03-001","or write-in:",151
"03-001","overvote",3
"03-001","undervote",1415
"03-001",NA,561
"03-002","Chad King Wilson, Sr. (10072072.0001530)",911
"03-002","Colt Morningstar Black (10072072.0001100)",1247
"03-002","Jaime Kiersten Brennan (10072072.0001390)",1230
"03-002","Janie Monier (10072072.0001460)",1038
"03-002","Josh Bokee (10072072.0001150)",989
"03-002","Veronica D. Lowe (10072072.0002200)",536
"03-002","or write-in:",156
"03-002","overvote",1
"03-002","undervote",1072
"03-002",NA,525
"04-001","Chad King Wilson, Sr. (10072072.0001530)",134
"04-001","Colt Morningstar Black (10072072.0001100)",385
"04-001","Jaime Kiersten Brennan (10072072.0001390)",334
"04-001","Janie Monier (10072072.0001460)",162
"04-001","Josh Bokee (10072072.0001150)",157
"04-001","Veronica D. Lowe (10072072.0002200)",119
"04-001","or write-in:",31
"04-001","undervote",341
"04-001",NA,128
"05-001","Chad King Wilson, Sr. (10072072.0001530)",526
"05-001","Colt Morningstar Black (10072072.0001100)",1279
"05-001","Jaime Kiersten Brennan (10072072.0001390)",1027
"05-001","Janie Monier (10072072.0001460)",620
"05-001","Josh Bokee (10072072.0001150)",607
"05-001","Veronica D. Lowe (10072072.0002200)",569
"05-001","or write-in:",70
"05-001","overvote",3
"05-001","undervote",1305
"05-001",NA,381
"05-002","Chad King Wilson, Sr. (10072072.0001530)",44
"05-002","Colt Morningstar Black (10072072.0001100)",154
"05-002","Jaime Kiersten Brennan (10072072.0001390)",128
"05-002","Janie Monier (10072072.0001460)",55
"05-002","Josh Bokee (10072072.0001150)",54
"05-002","Veronica D. Lowe (10072072.0002200)",48
"05-002","or write-in:",14
"05-002","undervote",133
"05-002",NA,52
"06-001","Chad King Wilson, Sr. (10072072.0001530)",273
"06-001","Colt Morningstar Black (10072072.0001100)",812
"06-001","Jaime Kiersten Brennan (10072072.0001390)",704
"06-001","Janie Monier (10072072.0001460)",312
"06-001","Josh Bokee (10072072.0001150)",321
"06-001","Veronica D. Lowe (10072072.0002200)",230
"06-001","or write-in:",67
"06-001","overvote",1
"06-001","undervote",661
"06-001",NA,318
"07-001","Chad King Wilson, Sr. (10072072.0001530)",816
"07-001","Colt Morningstar Black (10072072.0001100)",887
"07-001","Jaime Kiersten Brennan (10072072.0001390)",946
"07-001","Janie Monier (10072072.0001460)",999
"07-001","Josh Bokee (10072072.0001150)",893
"07-001","Veronica D. Lowe (10072072.0002200)",715
"07-001","or write-in:",73
"07-001","overvote",2
"07-001","undervote",1063
"07-001",NA,278
"07-002","Chad King Wilson, Sr. (10072072.0001530)",1396
"07-002","Colt Morningstar Black (10072072.0001100)",1126
"07-002","Jaime Kiersten Brennan (10072072.0001390)",1301
"07-002","Janie Monier (10072072.0001460)",1608
"07-002","Josh Bokee (10072072.0001150)",1500
"07-002","Veronica D. Lowe (10072072.0002200)",1119
"07-002","or write-in:",66
"07-002","overvote",7
"07-002","undervote",1483
"07-002",NA,348
"07-003","Chad King Wilson, Sr. (10072072.0001530)",708
"07-003","Colt Morningstar Black (10072072.0001100)",877
"07-003","Jaime Kiersten Brennan (10072072.0001390)",847
"07-003","Janie Monier (10072072.0001460)",825
"07-003","Josh Bokee (10072072.0001150)",772
"07-003","Veronica D. Lowe (10072072.0002200)",491
"07-003","or write-in:",63
"07-003","overvote",3
"07-003","undervote",942
"07-003",NA,331
"07-004","Chad King Wilson, Sr. (10072072.0001530)",774
"07-004","Colt Morningstar Black (10072072.0001100)",670
"07-004","Jaime Kiersten Brennan (10072072.0001390)",750
"07-004","Janie Monier (10072072.0001460)",944
"07-004","Josh Bokee (10072072.0001150)",823
"07-004","Veronica D. Lowe (10072072.0002200)",644
"07-004","or write-in:",49
"07-004","overvote",3
"07-004","undervote",951
"07-004",NA,194
"07-007","Chad King Wilson, Sr. (10072072.0001530)",364
"07-007","Colt Morningstar Black (10072072.0001100)",313
"07-007","Jaime Kiersten Brennan (10072072.0001390)",336
"07-007","Janie Monier (10072072.0001460)",413
"07-007","Josh Bokee (10072072.0001150)",353
"07-007","Veronica D. Lowe (10072072.0002200)",317
"07-007","or write-in:",15
"07-007","undervote",505
"07-007",NA,88
"08-001","Chad King Wilson, Sr. (10072072.0001530)",356
"08-001","Colt Morningstar Black (10072072.0001100)",772
"08-001","Jaime Kiersten Brennan (10072072.0001390)",709
"08-001","Janie Monier (10072072.0001460)",400
"08-001","Josh Bokee (10072072.0001150)",351
"08-001","Veronica D. Lowe (10072072.0002200)",304
"08-001","or write-in:",54
"08-001","overvote",1
"08-001","undervote",705
"08-001",NA,274
"09-001","Chad King Wilson, Sr. (10072072.0001530)",815
"09-001","Colt Morningstar Black (10072072.0001100)",1014
"09-001","Jaime Kiersten Brennan (10072072.0001390)",1054
"09-001","Janie Monier (10072072.0001460)",1001
