created_user,created_date,last_edited_user,last_edited_date,OBJECTID,ED_NUM,ED_NAME,PRECINCT,LEGIS_DIST,POLL_NAME,POLL_TYPE,POLL_ADDRE,CITY,ZIP_CODE,CONG_DIST,COUNCIL_DIST,GOOGLINK,GlobalID,ShapeSTArea,ShapeSTLength
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:41+00,2142,21,TUSCARORA,21-003,03,Yellow Springs Elementary School,School,8717 Yellow Springs Rd,Frederick,21702,6,3,"https://www.google.com/maps/place/39.4744481326391,-77.4520652459506",{E5D4E869-7880-41FC-88A8-0BB56AEA4295},68833676.3140411,48592.3744253171
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:08:09+00,2143,21,TUSCARORA,21-005,03, , , , , ,6,3,"https://www.google.com/maps/place/39.4797161128902,-77.4615637441213",{69449E51-CA59-4C67-8CF9-6ECDCDF187DE},1700129.18000372,6824.78746242952
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:16+00,2144,21,TUSCARORA,21-006,03, , , , , ,6,3,"https://www.google.com/maps/place/39.4797161128902,-77.4615637441213",{86EB479E-7670-46E5-BF47-AD560CEDA57F},107406.792007778,1516.74085036419
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:05:56+00,2145,20,LEWISTOWN,20-002,03, , , , , ,6,5,"https://www.google.com/maps/place/39.539393200806,-77.4144835098404",{D90E7B6C-5F0A-434C-8728-2858B6039C4D},1014732.91776127,5392.78847669698
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:26+00,2146,7,URBANA,07-002,04,Centerville Elementary School,School,3601 Carriage Hill Drive,Frederick,21704,6,2,"https://www.google.com/maps/place/39.3354519771521,-77.333706354161",{9A4D5F07-373E-4EC0-A960-9A7A66BC642D},54017661.3367715,30454.1081654319
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:23+00,2147,7,URBANA,07-006,03, , , , , ,6,2,"https://www.google.com/maps/place/39.3464105441975,-77.3092003821431",{D9FBFE2C-7D8E-4E9E-9DC8-1CFFF0CC537E},661280.951112796,11075.5360880404
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:48+00,2148,2,FREDERICK,02-001,03,Lincoln Elementary School,School,200 Madison Street,Frederick,21701,6,4,"https://www.google.com/maps/place/39.40800566121935, -77.41549904602628",{63116D5D-68B7-4CEF-B708-3DBAF4C308BB},35856828.3651336,26958.1192058887
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:17+00,2149,2,FREDERICK,02-002,03,Lincoln Elementary School,School,200 Madison Street,Frederick,21701,6,3,"https://www.google.com/maps/place/39.40800566121935, -77.41549904602628",{3C6F427E-9827-4B4E-A824-DD963071A86D},10850129.4563763,18723.7955798388
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:21+00,2150,7,URBANA,07-004,03,Urbana Regional Library,Library,9020 Amelung Street,Frederick,21704,6,2,"https://www.google.com/maps/place/39.3312931717641,-77.3548774380692",{CD95F415-E410-4DE5-B59B-3D46898CD5A6},83121758.318369,46804.1632131897
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:21+00,2151,1,BUCKEYSTOWN,01-003,04,Point of Rocks Community Center,Library,1635 Ballenger Creek Pike,Point of Rocks,21777,6,1,"https://www.google.com/maps/place/39.277724,-77.538221",{0B0734B9-855C-4172-957C-0B46F5A84A09},594585646.508691,123773.14388948
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:17+00,2152,26,WALKERSVILLE,26-003,03, , , , , ,6,5,"https://www.google.com/maps/place/39.4802309321805,-77.3544081220793",{6D724948-A56C-4E36-8155-D1542434E156},25428031.6645273,28288.45494263
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:19+00,2153,21,TUSCARORA,21-009,03,Brook Hill United Methodist Church,Church,8946 Indian Springs Rd,Frederick,21702,6,5,"https://www.google.com/maps/place/39.4797161128902,-77.4615637441213",{AF5E76DA-E5A5-4ED8-804B-24AC322592BD},9837676.95868567,13493.6243792814
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:13+00,2154,23,BALLENGER,23-005,03,Orchard Grove Elementary School,School,5898 Hannover Drive,Frederick,21703,6,1,"https://www.google.com/maps/place/39.3945261310121,-77.4412608251146",{0FD866E0-B33E-4031-AA9E-6B4116023F99},56941629.0653208,46316.6540418658
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:05:39+00,2155,20,LEWISTOWN,20-003,04, , , , , ,6,5,"https://www.google.com/maps/place/39.539393200806,-77.4144835098404",{15A9FE57-CFAC-4C59-A333-2586B2C0F6EA},138000.850916039,1794.04534429424
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/13 14:14:03+00,2156,10,HAUVERS,10-002,04,Sabillasville Environmental School,School,16210-B Sabillasville Road,Sabillasville,21780,6,5,"https://www.google.com/maps/place/39.6802714509443,-77.4562704142186",{DF47CE94-C9D6-446D-9C77-C263E4F564E7},371636302.334562,100096.200666839
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:12+00,2157,18,WOODVILLE,18-001,05,Twin Ridge Elementary School,School,1106 Leafy Hollow Circle,Mount Airy,21771,6,2,"https://www.google.com/maps/place/39.3704391152112,-77.1758906620368",{03F24C7C-208C-46B1-99ED-1EB4AF0DEBD9},39075406.5797273,40470.964181385
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:30+00,2158,15,THURMONT,15-003,04,Thurmont Primary School,School,7989 Rocky Ridge Road,Thurmont,21788,6,5,"https://www.google.com/maps/place/39.614121,-77.390640",{E0CE90B5-676F-432E-B072-C483ED91AA58},51304310.5229743,33229.3840492157
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:46:11+00,2159,5,EMMITSBURG,05-002,04,Emmitsburg Elementary School,School,300 South Seton Avenue,Emmitsburg,21727,6,5,"https://www.google.com/maps/place/39.7031446965002,-77.3292351586741",{22E1A349-2332-41EE-9471-52B81AFECC9A},174344139.547417,68536.3114035562
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:48:58+00,2160,4,CREAGERSTOWN,04-001,04,Creagerstown Lutheran Church,Church,8619 Blacks Mill Road,Thurmont,21788,6,5,"https://www.google.com/maps/place/39.5766152681799,-77.3662654086982",{3DCBF7CA-9094-4794-A589-30233C92F2A1},547300722.135063,123406.271310542
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:06+00,2161,11,WOODSBORO,11-001,04,Woodsboro Elementary School,School,101 Liberty Road,Woodsboro,21798,6,5,"https://www.google.com/maps/place/39.5333802619154,-77.3127771940214",{B62BB12F-FE0E-441E-9C18-247BA920C223},772662217.910397,150929.705218079
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:49:31+00,2162,15,THURMONT,15-002,02A,Thurmont Primary School,School,7989 Rocky Ridge Road,Thurmont,21788,6,5,"https://www.google.com/maps/place/39.614121,-77.390640",{E9617C55-94BE-400F-B49F-18FBDB185BDC},595677388.199791,116357.521563636
